branch_name,product_name,variant_name,flavor_name,inventory_item_name,quantity_required,unit,required_from_user,notes
,Flavored Fries,Giga,White Cheddar,White Cheddar Powder,3.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Giga,Sour Cheese,Sour Cheese Powder,3.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Giga,Chili BBQ,Chili BBQ Powder,3.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Giga,Chili Cheese,Chili Cheese Powder,3.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Giga,Sweet Corn,Sweet Corn Powder,3.5,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Tera,Cheese,Cheese Powder,4,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Tera,BBQ,BBQ Powder,4,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Tera,Sour Cream,Sour Cream Powder,4,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Tera,White Cheddar,White Cheddar Powder,4,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Tera,Sour Cheese,Sour Cheese Powder,4,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Tera,Chili BBQ,Chili BBQ Powder,4,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Tera,Chili Cheese,Chili Cheese Powder,4,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
,Flavored Fries,Tera,Sweet Corn,Sweet Corn Powder,4,tbsp,NO,TEST DATA — Replace before production. Seasoning stock_unit changed g->tbsp per recipe reference sheet.
